,ADVB,NOUN,NUMR,ADJ,NPRO,PRED,VERB,CONJ,INTJ,PREP,PRCL,PRTF,GRND
Киль,0.038,0.377,0.0,0.236,0.028,0.0,0.104,0.066,0.0,0.151,0.0,,
Кислород,0.012,0.424,0.024,0.212,0.035,0.0,0.094,0.071,0.0,0.118,0.012,,
Книга,0.012,0.329,0.0,0.294,0.0,0.012,0.118,0.094,0.0,0.118,0.024,,
Ков,0.014,0.522,0.0,0.174,0.0,0.0,0.101,0.029,0.0,0.159,0.0,,
Колбаса,0.032,0.452,0.0,0.226,0.032,0.0,0.129,0.097,0.0,0.032,0.0,,
Коленчатый вал,0.0,0.435,0.0,0.174,0.043,0.0,0.174,0.043,0.0,0.13,0.0,,
Колосники,0.0,0.368,0.0,0.279,0.029,0.0,0.074,0.132,0.0,0.103,0.015,,
Колосниковая решётка,0.0,0.368,0.0,0.279,0.029,0.0,0.074,0.132,0.0,0.103,0.015,,
Компас,0.0,0.6,0.0,0.1,0.0,0.0,0.05,0.05,0.0,0.2,0.0,,
Компаунд-машина,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Контрольный номер Библиотеки Конгресса,0.0,0.621,0.0,0.207,0.0,0.0,0.0,0.069,0.0,0.069,0.0,0.034,
Корк,0.0,0.512,0.0,0.171,0.0,0.0,0.122,0.049,0.0,0.146,0.0,,
Коста Конкордия,0.01,0.434,0.01,0.222,0.01,0.0,0.152,0.02,0.0,0.141,0.0,,
Кофе,0.0,0.444,0.0,0.222,0.0,0.0,0.111,0.111,0.0,0.111,0.0,,
Кочегар,0.067,0.467,0.0,0.167,0.0,0.0,0.1,0.1,0.0,0.1,0.0,,
Кунард Лайн,0.091,0.455,0.0,0.364,0.0,0.0,0.0,0.091,0.0,0.0,0.0,,
Ла-Манш,0.0,0.522,0.0,0.13,0.0,0.0,0.043,0.087,0.0,0.217,0.0,,
Лабрадорское течение,0.016,0.425,0.008,0.173,0.016,0.0,0.102,0.031,0.0,0.22,0.008,,
Лавировка,0.032,0.399,0.002,0.152,0.002,0.017,0.143,0.076,0.0,0.15,0.027,,
Лаган,0.0,0.521,0.014,0.123,0.0,0.0,0.137,0.055,0.0,0.151,0.0,,
Лас-Вегас,0.04,0.42,0.007,0.193,0.007,0.0,0.087,0.06,0.0,0.14,0.04,0.007,
Латвийская национальная библиотека,0.0,0.543,0.0,0.257,0.0,0.0,0.057,0.029,0.0,0.114,0.0,,
Латунь,0.062,0.469,0.0,0.156,0.0,0.0,0.094,0.062,0.0,0.125,0.031,,
Лаурентик,0.0,0.556,0.0,0.222,0.0,0.0,0.111,0.0,0.0,0.111,0.0,,
Легенда Титаника,0.0,0.69,0.0,0.103,0.0,0.0,0.069,0.034,0.0,0.103,0.0,,
Ледник,0.025,0.5,0.0,0.225,0.025,0.0,0.075,0.075,0.0,0.075,0.0,,
Ливерпуль,0.042,0.604,0.0,0.062,0.021,0.0,0.062,0.0,0.021,0.167,0.021,,
Лимон,0.0,0.6,0.0,0.133,0.0,0.0,0.133,0.0,0.0,0.0,0.133,,
Линолеум,0.067,0.467,0.0,0.2,0.0,0.0,0.067,0.0,0.0,0.2,0.0,,
Лифт,0.0,0.333,0.0,0.278,0.0,0.0,0.167,0.056,0.0,0.167,0.0,,
Лондон,0.032,0.436,0.0,0.207,0.016,0.0,0.096,0.048,0.005,0.154,0.005,,
Лоцман,0.039,0.43,0.0,0.173,0.007,0.0,0.088,0.085,0.0,0.165,0.014,,
Лошадиная сила,0.08,0.333,0.0,0.18,0.027,0.007,0.113,0.073,0.0,0.153,0.033,,
Луксор Лас-Вегас,0.0,0.567,0.0,0.133,0.0,0.0,0.067,0.067,0.0,0.167,0.0,,
Луна,0.028,0.421,0.0,0.243,0.009,0.009,0.065,0.056,0.0,0.168,0.0,,
Люси Дафф Гордон,0.016,0.416,0.0,0.132,0.041,0.0,0.148,0.074,0.0,0.144,0.029,,
Магнитная девиация,0.038,0.506,0.0,0.165,0.006,0.0,0.082,0.07,0.0,0.101,0.032,,
Магнитное поле,0.039,0.37,0.009,0.248,0.013,0.013,0.117,0.048,0.0,0.109,0.035,,
Маргарет Браун,0.0,0.5,0.0,0.167,0.042,0.0,0.167,0.042,0.0,0.083,0.0,,
Мармелад,0.02,0.429,0.0,0.224,0.0,0.0,0.082,0.061,0.0,0.163,0.02,,
Марсовая площадка,0.0,0.463,0.0,0.164,0.015,0.0,0.104,0.075,0.0,0.179,0.0,,
Масляная лампа,0.028,0.39,0.0,0.183,0.009,0.005,0.138,0.069,0.0,0.165,0.009,0.005,
Массачусетс,0.045,0.591,0.0,0.136,0.0,0.0,0.045,0.045,0.0,0.136,0.0,,
Машинный телеграф,0.067,0.396,0.0,0.239,0.007,0.0,0.127,0.022,0.0,0.127,0.015,,
Мемориальный фонтан Батта-Миллета,0.0,0.611,0.028,0.111,0.028,0.0,0.083,0.028,0.0,0.111,0.0,,
Метр,0.0,0.588,0.012,0.165,0.0,0.0,0.071,0.035,0.0,0.106,0.024,,
Мех,0.0,0.475,0.0,0.22,0.017,0.0,0.051,0.034,0.0,0.169,0.034,,
Мидель,0.065,0.581,0.0,0.129,0.0,0.0,0.097,0.032,0.0,0.097,0.0,,
Микроорганизмы,0.029,0.5,0.0,0.294,0.0,0.0,0.088,0.029,0.0,0.059,0.0,,
Минеральная вода,0.024,0.369,0.0,0.226,0.012,0.0,0.083,0.119,0.0,0.131,0.036,,
Мини-гольф,0.0,0.423,0.0,0.269,0.0,0.0,0.192,0.0,0.0,0.115,0.0,,
Многощетинковые черви,0.069,0.483,0.0,0.241,0.0,0.0,0.034,0.069,0.0,0.103,0.0,,
Моллюск,0.032,0.421,0.003,0.206,0.006,0.003,0.09,0.08,0.003,0.135,0.019,,
Молоко,0.033,0.418,0.0,0.253,0.011,0.0,0.099,0.055,0.0,0.11,0.022,,
Монте-Карло,0.0,0.435,0.043,0.261,0.0,0.0,0.087,0.043,0.0,0.087,0.043,,
Море Баффина,0.019,0.5,0.0,0.269,0.0,0.0,0.096,0.038,0.0,0.077,0.0,,
Море Лабрадор,0.0,0.581,0.0,0.161,0.0,0.0,0.065,0.065,0.0,0.129,0.0,,
Мороженое,0.015,0.431,0.0,0.2,0.015,0.0,0.131,0.085,0.0,0.115,0.008,,
Морские термины,0.0,0.4,0.0,0.2,0.0,0.0,0.15,0.05,0.0,0.15,0.05,,
Морской лёд,0.0,0.444,0.0,0.194,0.0,0.0,0.083,0.056,0.0,0.222,0.0,,
Мощность,0.029,0.529,0.0,0.235,0.0,0.0,0.029,0.029,0.0,0.118,0.029,,
Мрамор,0.071,0.429,0.0,0.214,0.0,0.0,0.143,0.0,0.0,0.143,0.0,,
Мука,0.018,0.509,0.0,0.246,0.0,0.0,0.105,0.035,0.0,0.088,0.0,,
Мультипликационный фильм,0.036,0.536,0.0,0.214,0.0,0.0,0.107,0.0,0.0,0.107,0.0,,
Мясо,0.017,0.452,0.0,0.157,0.017,0.0,0.122,0.087,0.0,0.113,0.035,,
Навигационные огни,0.0,0.424,0.0,0.273,0.03,0.0,0.061,0.091,0.0,0.091,0.03,,
Нактоуз,0.028,0.404,0.0,0.22,0.0,0.0,0.138,0.064,0.0,0.128,0.018,,
Настольный теннис,0.014,0.476,0.01,0.171,0.0,0.0,0.105,0.071,0.0,0.143,0.01,,
Национальная библиотека Австралии,0.022,0.444,0.0,0.156,0.0,0.0,0.144,0.033,0.0,0.167,0.033,,
Национальная библиотека Испании,0.032,0.387,0.032,0.161,0.032,0.0,0.097,0.032,0.0,0.226,0.0,,
Национальная библиотека Франции,0.014,0.5,0.0,0.222,0.014,0.0,0.056,0.042,0.0,0.153,0.0,,
Национальная библиотека Чешской Республики,0.016,0.496,0.0,0.144,0.024,0.0,0.112,0.008,0.0,0.192,0.008,,
